id	links	xcoord_p	ycoord_p
162	3	1603854.1990535758	443120.7538641299
163	3	1706713.5434530058	440610.1474126132
164	1	1690371.1188726362	440431.1520732324
165	3	1689897.6258369354	442344.92617428256
166	3	1661437.643786271	509255.535881819
167	1	1660986.7406967683	509505.65803900035
168	1	1610460.196278964	446504.9964789179
169	5	1608950.329707087	445890.2046248343
170	3	1608994.8040623008	446094.96497839346
171	1	1608616.0404247239	445752.7300738725
172	1	1608485.7328250473	448830.7113353025
173	1	1610122.82913572	448580.80940524867
174	3	1664293.0984409074	500380.4671190467
175	1	1664352.0868419	501392.1951953446
176	3	1653892.6507759462	493824.13774856966
177	1	1653855.3677009973	494248.2637761926
178	1	1661300.0148739323	452010.44124071934
179	3	1660425.9810743416	452184.5799474345
180	3	1659219.203745173	452419.06590248866
181	3	1658320.3633064395	452467.9456406364
182	3	1684181.9721537118	414139.7050428693
183	1	1684573.6347314036	413687.7881952593
184	3	1684017.8237912713	414834.74926247535
185	1	1683876.5007917092	414664.67972006556
186	1	1685413.10303742	435435.1712740514
187	3	1686490.337057244	437126.11502469354
188	3	1686538.4147850364	437604.69040475576
189	1	1701573.453838111	437121.54053779005
190	2	1700528.9696264993	436079.86957144993
191	1	1691385.6023413914	409819.39742903464
192	1	1606166.9882833734	460887.24661777104
193	3	1604875.9157273106	460811.983045195
194	3	1603938.5512697434	460964.95536069304
195	1	1604926.093006808	461210.6926734821
196	3	1610252.9866565333	460818.44742672215
197	1	1609012.5662297655	460317.5590470171
198	3	1602083.1412877343	408453.707013211
199	1	1601694.590116417	408845.9144193928
200	1	1641702.5761503896	482151.5505454523
201	3	1643581.7433117402	481935.37268641545
202	1	1644385.3825082835	481531.8022274477
203	4	1601047.802692416	443527.3458667639
204	3	1600339.4099960583	445831.476044745
205	4	1599792.4297548167	445651.6538359034
206	1	1616759.1465634624	427350.15715538204
207	3	1648552.0096657968	502675.8051055175
208	1	1648105.1867403055	502757.17434086907
209	3	1599995.7303891957	465340.72496580624
210	1	1600442.3509705986	465418.4330654922
211	1	1598703.1731021386	471658.4495874457
212	4	1599620.8584701852	471201.5896871532
213	3	1686176.010958732	483108.2527253416
214	1	1598321.2608360096	471263.240974865
215	3	1615293.2641842773	518716.5968500459
216	3	1615368.2528511833	518782.66657501494
217	1	1616881.9716739608	518198.59258059115
218	1	1614746.2761713979	414500.9126035544
219	3	1616517.2334036399	416416.4235693676
220	3	1668289.4828312483	462359.30615128326
221	1	1689728.035951211	453586.5541829509
222	3	1689360.4207325457	455907.3910021341
223	1	1641839.2726058082	487547.38679622236
224	3	1640809.7270192876	486681.3137729015
225	3	1640552.1034079862	485990.3901039638
226	1	1639222.0040649076	486346.8801766986
227	3	1617540.7116346664	463587.58155462437
228	3	1648003.2698993767	485676.4954326557
229	1	1648084.9691848543	485218.7466594707
230	2	1700661.8035155728	432986.7378466539
232	2	1700820.1620508796	432925.94810287945
234	3	1671495.7699387562	482252.3743230404
235	3	1616481.6605656426	524390.1608512099
236	1	1617323.22777697	524600.9361200867
237	3	1622146.8016232979	459264.931386497
238	1	1622406.27754817	459230.9018667861
239	4	1642941.6710955813	493384.5167138223
240	1	1643745.3552573624	493306.7244002153
241	3	1603354.9600516108	502655.7354255399
242	3	1671802.0986951324	445817.32607940305
243	1	1671780.8748835763	446565.95809695893
244	3	1611039.647339267	534775.1938448128
245	1	1611343.0647940168	534246.5204899795
246	3	1654462.1597353187	478222.1987033585
247	3	1654829.0393110416	477690.0447151565
248	3	1653866.6424773855	475472.27173213835
249	3	1615087.7810127435	536760.2006214712
250	3	1614871.6581573582	535913.9057660196
251	3	1707121.1912155715	447540.1671002033
252	1	1688268.9306321975	488986.90505544137
253	3	1685501.7133426408	490227.3516950426
254	3	1610410.2350854788	515142.6375557526
255	3	1610644.8246439698	515009.0585026506
256	3	1623534.0255254703	525559.2279311776
257	1	1623208.580011779	525010.4975806592
258	1	1658633.7580295186	482068.0949202805
259	3	1673866.1713047004	406843.61756988085
260	3	1673808.5390712519	407536.5520470785
261	1	1673828.9758920379	407584.0310832968
262	3	1702240.855066956	444602.4151764582
263	3	1703306.2260010852	449282.2531883874
264	3	1703789.294577539	449581.07776410395
265	5	1647195.292240746	433984.75185773434
266	1	1647225.8454506625	434191.54085229506
267	3	1658297.3561724978	456419.60487471387
268	2	1658214.5720410584	456241.39059688273
269	1	1613716.6769635587	538472.240185251
270	3	1627763.9530916458	444123.37153918616
271	1	1626371.685358714	444100.7502555172
272	1	1620753.1206555746	441638.097345285
273	1	1661665.5341799448	523712.5497620559
274	1	1692156.66303601	469284.07679644023
275	3	1691916.3900823414	471178.8755178472
276	3	1671542.89065195	403959.4596893913
277	1	1671268.1978733672	404336.46424144204
278	1	1675053.3566308178	400113.0683039339
279	3	1674416.5420596262	402907.0901590153
280	3	1675015.3193305542	404798.65188362735
281	1	1673157.5547977488	401846.7089601264
282	3	1628290.310853113	462396.9414625203
283	1	1628128.1561703952	461954.73030931747
284	3	1664903.4373878308	448815.8766666457
285	1	1665414.0319158274	448919.032362951
286	3	1674359.3311508305	405946.8064552829
287	1	1673889.277007546	405799.39617296756
288	3	1678693.267414787	399753.05421046587
289	2	1682123.3617228628	400136.68222132826
290	1	1682536.4586187764	399757.6961099885
291	3	1624522.9108827207	435327.052203092
292	3	1624570.6268985113	435663.20806076255
293	1	1643928.2424323738	499017.6786771596
294	3	1628821.5370918782	464911.5923688238
295	3	1651670.8833951547	482840.24006113544
296	3	1651644.7858304023	482626.47975175036
297	1	1680233.5517753821	395194.5595946063
298	3	1680916.4013582482	396963.0997497812
299	3	1679802.6557438904	398083.24812527973
300	3	1678964.3167639598	399325.1957896197
301	1	1681560.0166007578	396539.23835462454
303	2	1703124.900969675	477843.29344702134
304	2	1702649.566931866	477885.49292091484
305	3	1679726.6756033532	422642.0703999771
306	3	1679491.408541293	422634.2110034753
307	1	1678157.3126810237	423493.8061599992
308	1	1636938.809547265	481845.10379028926
309	4	1637164.0311633272	483644.81729087903
310	1	1637715.7175910592	484531.12111034244
311	1	1637886.8137760153	484685.70503087103
312	1	1678561.5256208985	423876.3621489658
313	3	1647650.2072681887	473788.88820656313
314	1	1647588.3234472629	474186.71817469323
315	2	1673945.3618080216	425692.50464900985
316	3	1674616.6792866513	426524.0474578212
317	1	1673862.4257493163	427087.1517376996
318	3	1647723.6007453462	473787.7145586263
319	1	1647489.6085328287	473401.52180133184
320	1	1690993.4073455855	427207.2067549143
321	4	1690815.8545788128	425567.93453363085
322	4	1687766.8922148542	425643.38786113815
323	3	1647002.0897580225	473767.2881552826
324	1	1647103.6266463604	473435.270533856
325	3	1628822.6721895612	469132.79165365855
326	1	1629251.7873385218	469072.8160490529
327	3	1693640.198603839	457932.0658175738
328	3	1693485.4837006293	457544.3969413332
329	3	1693750.7936589194	458245.1652356443
330	3	1623106.926424106	537481.99299372
331	1	1623098.4656248074	538016.858457612
332	3	1578447.82019361	488261.18306662334
333	3	1594435.1161229415	458927.99445715686
334	1	1593233.779445146	458419.6274779587
335	3	1677604.5740296969	412288.45786422695
336	1	1678167.7488879897	412319.2432181899
337	3	1595596.303766878	451595.05305941903
338	1	1595671.3335429549	453295.91721592186
339	1	1676387.138310545	398349.5055416269
340	3	1677959.9705894908	399776.73281470966
341	3	1650824.1414017587	478325.0565863908
342	1	1651366.1182867403	476034.90830399044
343	3	1638228.882591806	456637.18169961125
344	3	1689225.7587395723	414208.50790693454
345	1	1689223.1617107082	413813.21681488474
346	3	1627740.152986921	443869.19928045926
347	1	1628364.7113209553	443801.46792349004
348	3	1655468.0276931643	476430.92834811896
349	3	1689173.7893323966	422236.91084206407
350	1	1688368.6568473666	422131.06977166334
351	3	1689697.6548354146	418741.3879506308
352	3	1690865.714273615	411584.3365792788
353	1	1691379.7450929563	412053.75022669905
354	3	1598953.9646105831	455199.0423945366
355	1	1598912.833459725	455847.53206424613
356	3	1606229.4299071988	498354.042930711
357	1	1605919.2752574007	498723.76172476396
358	1	1676239.8380130515	498850.5393898597
359	4	1676268.9338023528	498879.7324047028
360	1	1676297.1900802387	498914.03017606755
361	3	1640816.5222062366	473020.91709117865
362	3	1675190.6649227636	421475.9493061793
363	3	1675042.2384212858	421489.4564006147
364	3	1656991.8586769216	478731.190142238
365	1	1656956.1354344774	478891.3778689206
366	1	1656684.2309702823	478418.15362682974
367	1	1700945.8361159307	474759.67193218967
368	3	1698721.763873629	474915.2686154122
369	3	1614424.2660160502	542922.6616337135
370	1	1612720.2077093187	546370.9058395367
371	3	1624001.1834791	541766.9564388596
372	3	1623686.6492818543	544291.2639052331
373	1	1623490.852489345	544256.0961657156
374	3	1654873.9978381237	477780.92895728064
375	1	1654484.7998943834	478640.21407252643
376	3	1624851.0613386587	541449.997562435
377	3	1665194.978690829	472464.5143571692
378	1	1664834.6331470096	472508.3166334132
379	1	1695168.5571498044	420786.98195114534
380	3	1696154.468394452	419337.7234514509
381	4	1696078.8492499774	419211.0266934254
382	1	1694390.8205464955	419702.2563357399
383	1	1661170.8135146357	465145.5703754545
384	1	1620919.1898585863	521148.50777118636
385	3	1623175.2571404134	522508.18062225403
386	2	1683518.2260773834	403908.00225632364
387	1	1625761.6953164	536283.791175059
388	3	1627828.3363238305	540318.7838464569
389	3	1628024.363386786	540675.0553680735
390	3	1628110.783492493	540256.859711208
391	3	1675932.7545188165	403723.2382549081
392	1	1678266.9408156835	403975.4630324596
393	1	1695878.55825353	440111.87759780063
394	3	1695013.648523702	442265.4767295764
395	3	1677459.1229500992	400581.82592873945
396	1	1681272.5235401795	401837.3405348834
397	3	1586615.912383817	479901.95112597826
398	1	1586814.2528870583	480478.88417279394
399	2	1624306.6817497793	454233.2593182595
400	3	1582679.9698249947	482278.619448959
401	1	1582889.338192818	482002.0898090169
402	3	1659674.6404820746	468815.800803548
403	3	1659760.0097955912	469353.64278430445
404	3	1664723.1053842786	467947.60079973505
405	3	1664776.4687741466	468161.81436428824
406	3	1659542.9795204867	409285.93287094764
407	3	1659583.828784252	409205.7807180586
408	3	1684265.7097233327	408618.2900201443
409	3	1592131.3350148532	477685.53384566895
410	1	1592495.976175868	476652.7963901104
411	3	1696975.4368264491	454928.94800046744
412	3	1696928.6678950777	455398.2333411923
413	1	1696500.629053901	455734.9391306335
414	1	1657203.3180685013	475695.9085169883
415	3	1657198.9303007845	475619.1472433954
416	3	1696087.6470241735	427442.32031909376
417	1	1695924.1109330514	428128.9190696623
418	1	1680762.2337566975	412071.4647456865
419	3	1681490.9766012572	415940.64236571285
420	1	1696478.046378219	426727.75841978233
421	3	1596672.2707902591	426932.0219247822
422	3	1644534.2806205703	473667.6306032998
423	1	1644523.1717130484	473577.47699452343
424	1	1688810.8245337931	497022.4820625085
425	3	1589372.3703962625	480779.23121280497
426	1	1589718.532259567	481326.5899080366
427	3	1685498.7851131181	438004.99804446293
428	1	1685913.4164382436	438694.4159650116
429	3	1687665.1654131142	437472.58524452447
430	1	1687793.2876296577	438509.1502979888
431	3	1664861.4627725533	412384.2218791242
432	1	1665150.841823418	410228.79429920425
433	1	1652400.332039799	456590.8149399317
434	1	1697805.4851264304	435519.0010653571
435	3	1662052.4583674332	407001.4605782388
436	1	1660767.728542747	405138.13842977176
437	3	1663425.8592776728	403634.8510815512
438	1	1662014.7132953827	402476.07200540224
439	3	1669162.997876745	402221.97710366425
440	1	1667381.7642793478	403262.46943645214
441	1	1593904.3916821042	496140.8345550396
442	3	1596838.5382312918	496653.21123334725
443	3	1597029.0366733582	496640.9465714804
444	3	1594139.1647923565	492648.9312055779
445	1	1594582.0410214849	493920.9797723321
446	4	1590528.409996885	493861.6597694175
447	1	1590044.97059526	495692.116670518
448	3	1589224.0210062282	494274.3566233163
449	1	1588961.0528307261	495083.393395431
450	3	1642260.3856726803	412068.239703204
451	1	1641890.8775609091	412049.80931995314
453	3	1580132.8115806757	462451.71421308984
454	1	1580310.871498462	463741.28138531523
455	2	1642869.2793505993	409361.8811765896
456	1	1643872.5209154994	408272.47285328177
457	2	1700731.197929817	432960.2549454964
458	3	1699514.9139003481	433508.0157189191
459	1	1699394.1762446049	433162.956610624
460	3	1694045.3019471376	433334.817671265
461	1	1693195.1238263494	434505.1321098265
462	3	1665452.378689373	401157.7159037449
463	1	1663905.619759228	400767.59560469724
464	1	1610328.686752037	465010.7252350206
465	3	1610496.919068979	465539.4039014341
466	3	1609471.994832018	465693.2773655437
467	2	1658284.0693528727	402913.0341660652
468	1	1658250.6328121426	402290.56144521927
469	1	1636158.6897654105	484894.3380627854
470	1	1635965.594646162	486816.7736953049
471	3	1580624.777287385	476286.3334007144
472	1	1578819.6764607932	480986.45979318663
473	3	1584921.1067896904	455789.43274689105
474	1	1585108.2341996871	455794.61135419185
475	3	1584905.643920951	454548.66238277196
476	1	1584408.9011336109	454497.697814834
477	1	1579883.1458746982	494098.1639803628
478	2	1581378.6083374298	493879.8066859484
479	3	1638589.625276752	483081.1133675662
480	3	1651237.3328529885	406237.343428548
481	1	1652095.4132410611	406199.25954135973
482	3	1649112.143390468	412452.46189880586
483	1	1650023.77183557	412480.34310213436
484	3	1670873.278933901	426532.93378280115
485	1	1670724.5711521069	426458.0106195359
486	4	1650920.828103595	422837.3691089876
487	3	1649971.3255526344	422909.98196242534
488	3	1649460.2894305137	422949.4274768625
489	1	1649293.945974818	423282.5047863903
490	3	1674818.7833634638	426522.737172836
491	3	1573652.6568496418	472026.3372232525
492	3	1572585.050437297	472094.7276691096
493	1	1571673.1261319139	471439.15607110376
494	1	1571829.4926842062	472421.3672196518
495	3	1583378.0507322294	450853.1959303044
496	1	1583930.7102361664	449368.29654716176
497	1	1697825.7220496202	452764.61433569185
498	3	1696742.9353564314	453659.9845779802
499	3	1696108.520599547	454540.2752506593
500	2	1580052.0091731017	448108.9338363525
501	1	1578586.1039797938	447534.07385215827
502	1	1692305.8288540326	445658.88504675694
503	4	1692143.485198579	446700.7747327873
504	1	1692166.8692600664	447377.9809157266
505	3	1697332.3313322323	468267.45038775145
506	1	1698186.0930652926	467957.73595070327
507	3	1690971.6210885367	446152.43567451724
508	1	1691192.4838677438	447041.79883859114
509	3	1685271.919147016	427954.2644766304
510	1	1685425.3072522455	428729.93981936644
511	3	1686867.8130320446	428034.5255478945
512	1	1686617.965950398	427407.2012623886
513	3	1687209.2921423095	429336.5735376861
514	1	1687915.3058181424	428967.5716542373
515	3	1687617.0879165297	430759.5660259728
516	1	1688115.7348921467	430680.1388243506
517	3	1692373.0933075002	430978.7238465701
518	3	1692468.7155933985	430234.1415378074
519	1	1692010.124852431	430114.3633452263
520	1	1640921.4551387823	450181.0624123352
521	3	1639036.7529597897	450876.86476582236
522	2	1637925.9958212133	450705.6292862429
523	3	1639020.6711765837	452477.64389087394
524	3	1636526.2561384272	452136.87315298466
525	4	1578316.7267672466	459678.43987426726
526	3	1578616.9851687027	459673.32282615895
527	3	1579465.3235657732	460161.7809969759
528	3	1579665.653149939	460289.0618611546
529	3	1579859.0849118417	460412.0678605486
530	3	1673318.1242183053	447881.1690143311
531	4	1673240.1799383766	447850.6542252876
532	1	1672373.1665164884	447183.84910890483
533	3	1579948.8780185028	460790.1879798379
534	1	1579893.1501947457	460313.32472475345
535	3	1673798.8721291628	443509.5723894954
536	2	1673948.5695142136	443338.79046723584
537	3	1667228.347217966	425500.56513250724
538	1	1667052.867707816	425026.249588248
539	3	1597361.0880202302	426860.2611266653
540	1	1598099.9336937137	427866.4850080845
541	3	1669506.2825296437	422433.9377632836
542	1	1670076.576569127	422305.7817941563
543	1	1592215.9949673342	437486.2938080071
544	3	1685325.220594609	441666.4744567424
545	1	1685088.0718302387	441479.8590669504
546	3	1689161.2675429839	444728.6233646278
547	3	1689654.289592666	444645.63387603144
548	1	1689861.3047072934	444611.2545241724
549	1	1689953.9319747633	443627.8969656565
550	3	1692277.9060718506	442621.82768830867
551	1	1692310.836654271	442361.2462551156
552	3	1661431.7361403853	425740.1871414459
553	3	1660401.6498496544	424885.07130911865
554	1	1660589.8207505564	424155.77928061143
555	1	1595770.485156194	438923.2540071377
556	3	1595675.7397814754	446812.91079455346
557	1	1595408.9981489736	445915.3632096386
558	1	1671155.041838519	456408.7830662498
559	3	1593374.0976470592	447410.3626314129
560	1	1592355.92083091	446472.6636818078
561	3	1590685.306469522	447829.5505585472
562	1	1590656.4170760992	448124.7876142173
563	3	1591974.5918366653	447879.0974193317
564	1	1591816.476948438	448372.5796803589
565	4	1624580.403254129	456910.32221828034
566	3	1624622.424920858	457144.6203061775
567	1	1668216.5362699912	397972.03103606164
568	3	1668680.4722782932	399247.8539063074
569	3	1668037.051854998	400650.10298841225
570	3	1674839.3237914073	438535.3553569381
571	1	1674378.3419157618	438438.81218947185
572	3	1701131.0261089965	495856.6874997437
573	3	1640250.869048871	477358.07018124714
574	1	1693308.5612810173	457261.41084603436
575	3	1698813.574937583	454711.6482999301
576	1	1698676.0184770573	454244.43881615426
577	1	1696500.0134228503	453155.5478618025
578	3	1595448.268820913	460857.43811322557
579	1	1595569.8719534748	461413.5695275376
580	3	1693301.6318964444	453918.7394467984
581	3	1693179.27256422	453998.8877027091
582	1	1681748.51303294	454678.59396921605
583	3	1701024.6890761827	494821.30970996676
584	3	1681776.312701934	505823.15297827864
585	3	1663229.0955377682	478391.2957608098
586	3	1671743.4938531597	452147.79167477204
587	1	1671292.6669394262	451860.8152442253
588	3	1662362.587357383	484594.93542290776
589	1	1655418.9230703455	464302.3173008855
590	3	1643510.04190304	416820.3515799162
591	1	1642967.396301978	416704.8270794728
592	3	1694782.2986535754	471233.6664167569
593	1	1694685.271373113	472513.36452105956
594	3	1644512.8333257956	419728.96523354197
595	1	1645114.4923718034	419694.61582989333
596	3	1701243.3410303746	468327.35276088055
597	2	1701632.13060428	468489.7734767089
598	1	1686145.8217042494	450045.3782027553
599	3	1685448.1634578207	448863.284806491
600	3	1691538.542522789	450023.77632218954
601	1	1691160.2393170695	449589.1065255884
602	3	1694246.405283741	450729.0733027136
603	1	1693647.3115862359	450530.149278209
604	3	1694189.8183285343	449679.42899777606
605	1	1695366.7360921204	449488.5386191863
606	3	1694952.0788072406	450876.7738911687
607	1	1695162.801836399	450449.6270120748
608	3	1687918.798417528	466390.32005774725
609	1	1688022.8428147607	467469.7141395648
610	3	1687187.500881376	466509.1356769268
611	1	1687445.2924930307	467562.28844977403
612	4	1678423.4813924793	503581.3085034907
613	3	1677956.319231023	503297.3082478972
614	1	1677776.7934148873	503217.19950387155
615	1	1678024.6357576265	503092.77351558
616	3	1677667.127651631	504451.2357302346
617	1	1677833.033496527	504446.6631553691
618	4	1652461.7073880476	463116.6476873571
619	3	1652499.664852927	463162.4658461533
620	3	1612802.414308507	501215.65115703485
621	1	1612018.8188296214	500536.1468947542
622	3	1612783.1445201691	500902.82175283716
623	1	1613234.1594276587	501363.26112451695
624	1	1686614.3930743185	463073.64728769346
625	3	1666913.9633445744	523959.33135337627
626	1	1666816.7595609298	524426.2933645376
627	3	1697625.4116489484	459232.0794016789
628	1	1697626.0466666608	459715.48336446245
629	3	1643408.2993372409	465617.48642749514
630	1	1643841.056871612	465557.32227729517
631	3	1643415.6276884002	465688.024596312
632	1	1643956.5589598215	465624.83340143587
633	3	1684956.1732236075	459604.31645068113
634	1	1683991.34849893	460152.4770752439
635	3	1616370.799976665	446898.11872858106
636	3	1666008.8384965048	527151.0578212783
637	1	1665910.8959425134	526207.0682501425
638	3	1659674.267274234	431077.39858166233
639	1	1660713.7521683674	432558.495393926
640	3	1663089.5455750735	527853.2529691926
641	1	1663206.2598315913	528458.492753759
642	3	1629560.460661887	504803.3932286375
643	1	1631059.6821249474	504367.3091570522
644	3	1695866.7037684775	495014.12019002874
645	1	1695729.9268630806	494173.06718565687
646	1	1696254.3226285721	492454.72063902766
647	3	1661870.4000900276	533218.7536331532
648	3	1638168.0925814107	516568.6109979771
649	1	1639465.9354827954	517836.71029672906
650	3	1654870.4479742164	524240.1942181952
651	1	1654265.999536712	522831.0308746459
652	3	1636668.4480251167	487650.0019157614
653	3	1634916.2376465504	485976.61565577606
654	3	1635051.6917351082	485820.35127098707
655	3	1647016.5510481948	447171.8289120171
656	1	1647200.3570902294	448139.5455132528
657	3	1659237.3803471741	463445.3441570308
658	1	1659060.1831927288	463500.37508590455
659	2	1651280.5857890043	473723.94496061903
660	3	1649899.67978753	532053.5740573345
661	1	1648949.6284663226	533126.2543110357
662	3	1648484.6448487064	531491.0642168054
663	1	1648479.35736076	532168.2158163909
664	1	1659373.9315938905	479616.9107257153
665	3	1663640.4642403116	478318.18019799824
666	3	1648275.9302880936	531311.3518956837
667	1	1648005.8017748091	531721.3175060343
668	3	1646360.2998906942	530949.5917113632
669	1	1645182.56093362	530957.9546600757
670	3	1636310.8660296972	525686.8753982702
671	1	1635836.858974349	525226.3455936671
672	3	1677750.7962122604	479596.97581810446
673	1	1680017.2330032624	479712.72750414105
674	3	1645536.4723251162	518989.5054226393
675	1	1645626.239850498	518656.5143966631
676	3	1647967.9191192216	519234.8554160993
677	3	1648704.952831766	517560.94290030823
678	1	1650016.41788628	518115.86673482053
679	3	1646556.9365146956	520756.4457202005
680	3	1646788.8316543624	522913.2858133781
681	3	1646817.3309753474	523102.2643556919
682	1	1647496.8327977203	524397.9621162001
683	1	1646475.2063709598	523660.10720405023
684	3	1657177.8647207243	439129.81083971757
