PARCELID	DELTSPUW	SHADPEMP	DELTSPUS	SHADPK12	DELTSPUU	SHADPUNI
78	0.000000	-22.836823	-6.396930	0.000000	0.000000	-74.781332
79	0.000000	-22.836823	-6.396930	0.000000	0.000000	-74.781332
80	0.000000	-607.323981	-6.396930	0.000000	-4.605170	-46.051700
81	0.000000	-2.316446	-6.396930	0.000000	-4.605170	-46.051700
82	-0.016293	2.805760	-6.396930	0.000000	-4.605170	-46.051700
83	0.000000	-607.323981	-6.396930	0.000000	-4.605170	-46.051700
84	0.000000	-607.323981	-6.396930	0.000000	-4.605170	-46.051700
85	0.000000	-607.323981	-6.396930	0.000000	-4.605170	-46.051700
86	0.000000	-607.323981	-6.396930	0.000000	-4.605170	-46.051700
87	0.346856	0.859125	-7.438384	0.000000	0.000000	-43.525971
88	0.000000	-607.323981	-6.396930	0.000000	-4.605170	-46.051700
89	0.159258	0.922016	-7.438384	0.000000	0.000000	-43.525971
90	0.000000	-607.323981	-6.396930	0.000000	-4.605170	-46.051700
91	5.837780	-399.096706	-6.214608	0.000000	-4.605170	-77.148456
92	5.837780	-399.096706	-6.214608	0.000000	-4.605170	-77.148456
93	-0.041206	1.871604	-6.214608	0.000000	-4.605170	-77.148456
94	5.837780	-399.096706	-6.214608	0.000000	-4.605170	-77.148456
95	5.837780	-399.096706	-6.214608	0.000000	-4.605170	-77.148456
96	5.837780	-399.096706	-6.214608	0.000000	-4.605170	-77.148456
97	0.420623	-744.566527	-6.396930	0.000000	-4.605170	-472.101071
98	0.420623	0.123381	-6.396930	0.000000	-4.605170	-472.101071
99	0.420623	-744.566527	-6.396930	0.000000	-4.605170	-472.101071
100	0.420623	-744.566527	-6.396930	0.000000	-4.605170	-472.101071
101	0.420623	-0.587473	-6.396930	0.000000	-4.605170	-472.101071
102	0.420623	0.443170	-6.396930	0.000000	-4.605170	-472.101071
103	8.915343	-671.005472	-4.605170	0.000000	-4.605170	-495.126921
104	0.420623	-744.566527	-6.396930	0.000000	-4.605170	-472.101071
105	-2.969146	-279.630188	-7.170120	0.000000	-5.298317	-451.613373
106	-2.969146	-279.630188	-7.170120	0.000000	-5.298317	-451.613373
107	-2.969146	-279.630188	-7.170120	0.000000	-5.298317	-451.613373
108	-2.969146	-279.630188	-7.170120	0.000000	-5.298317	-451.613373
109	1.151921	0.026819	-7.170120	0.000000	-5.298317	-451.613373
110	-2.969146	-279.630188	-7.170120	0.000000	-5.298317	-451.613373
111	-2.969146	1.231804	-7.170120	0.000000	-5.298317	-451.613373
112	-2.969146	-279.630188	-7.170120	0.000000	-5.298317	-451.613373
113	-2.969146	-279.630188	-7.170120	0.000000	-5.298317	-451.613373
114	6.256083	-228.817657	-7.170120	0.000000	-5.298317	-451.613373
115	-2.969146	-279.630188	-7.170120	0.000000	-5.298317	-451.613373
116	0.000000	0.000000	-7.824046	0.000000	0.000000	-19.113827
117	0.000000	2.081938	-7.824046	0.000000	0.000000	-19.113827
118	-0.463717	1.739736	-7.824046	0.000000	0.000000	-19.113827
119	0.000000	0.825771	-7.824046	0.000000	0.000000	-19.113827
120	0.008650	3.718491	-7.824046	0.000000	0.000000	-19.113827
121	-0.244841	0.573305	-9.159047	0.000000	0.000000	-292.205151
122	-0.372674	-1.257505	-9.159047	0.000000	0.000000	-292.205151
123	-0.372674	-1.514961	-9.159047	0.000000	0.000000	-292.205151
124	-0.012422	1.678259	-9.159047	0.000000	0.000000	-292.205151
125	-0.020267	2.460050	-9.159047	0.000000	0.000000	-292.205151
126	-0.047517	2.992244	-9.159047	0.000000	0.000000	-292.205151
127	-0.357077	0.919999	-8.216088	0.000000	-5.991465	-36.800539
128	0.000000	0.341543	-8.216088	0.000000	-5.991465	-36.800539
129	0.158490	2.860241	-8.216088	0.000000	-5.991465	-36.800539
130	0.000000	-47.784574	-8.216088	0.000000	-5.991465	-36.800539
131	-0.093535	2.394465	-8.216088	0.000000	-5.991465	-36.800539
132	0.057802	2.064506	-8.216088	0.000000	-5.991465	-36.800539
133	0.119650	1.441117	-8.216088	0.000000	-5.991465	-36.800539
134	-0.080956	1.547530	-8.216088	0.000000	-5.991465	-36.800539
135	0.000000	-47.784574	-8.216088	0.000000	-5.991465	-36.800539
136	-0.322497	0.438352	-8.216088	0.000000	-5.991465	-36.800539
137	0.000000	0.218378	-8.216088	0.000000	-5.991465	-36.800539
138	0.000000	0.646131	-8.216088	0.000000	-5.991465	-36.800539
139	0.000000	-138.235518	-6.396930	0.000000	0.000000	-601.035957
140	0.000000	-138.235518	-6.396930	0.000000	0.000000	-601.035957
141	0.000000	-138.235518	-6.396930	0.000000	0.000000	-601.035957
142	0.000000	-138.235518	-6.396930	0.000000	0.000000	-601.035957
143	0.000000	-138.235518	-6.396930	0.000000	0.000000	-601.035957
144	0.000000	-138.235518	-6.396930	0.000000	0.000000	-601.035957
145	0.000000	-138.235518	-6.396930	0.000000	0.000000	-601.035957
146	0.000000	-138.235518	-6.396930	0.000000	0.000000	-601.035957
147	0.000000	-138.235518	-6.396930	0.000000	0.000000	-601.035957
148	0.000000	-138.235518	-6.396930	0.000000	0.000000	-601.035957
149	-0.317651	2.900399	-7.244228	0.000000	-5.991465	-192.354670
150	-0.067901	3.015045	-7.244228	0.000000	-5.991465	-192.354670
151	0.000000	-69.876362	-7.244228	0.000000	-5.991465	-192.354670
152	6.863398	4.549778	-7.244228	0.000000	-5.991465	-192.354670
153	0.000000	-69.876362	-7.244228	0.000000	-5.991465	-192.354670
154	0.000000	-69.876362	-7.244228	0.000000	-5.991465	-192.354670
155	6.393394	0.789749	-7.244228	0.000000	-5.991465	-192.354670
156	0.000000	-69.876362	-7.244228	0.000000	-5.991465	-192.354670
157	0.000000	-69.876362	-7.244228	0.000000	-5.991465	-192.354670
158	0.000000	-69.876362	-7.244228	0.000000	-5.991465	-192.354670
159	0.000000	-69.876362	-7.244228	0.000000	-5.991465	-192.354670
160	0.000000	-69.876362	-7.244228	0.000000	-5.991465	-192.354670
161	-0.003535	0.605159	-7.244228	0.000000	-5.991465	-192.354670
162	0.000000	-69.876362	-7.244228	0.000000	-5.991465	-192.354670
163	0.000000	-69.876362	-7.244228	0.000000	-5.991465	-192.354670
164	0.000000	-69.876362	-7.244228	0.000000	-5.991465	-192.354670
165	0.000000	-17.638204	-7.244228	0.000000	-5.991465	-192.354670
166	-0.229109	2.292858	-7.244228	0.000000	-5.991465	-192.354670
167	-0.079982	2.971576	-5.703782	0.000000	0.000000	-27.631020
168	0.000000	1.365390	-5.703782	0.000000	0.000000	-27.631020
169	0.029561	2.403198	-5.703782	0.000000	0.000000	-27.631020
170	0.000000	1.520167	-5.703782	0.000000	0.000000	-27.631020
171	0.734622	-620.945717	-5.991465	0.000000	-4.605170	-534.700046
172	0.734622	-620.945717	-5.991465	0.000000	-4.605170	-534.700046
